index,name,category,maxBandDrive,rmsDb,peakDb,dc
0,Default,Init,25.0,-13.964133,-2.843563,-0.000620681
1,Sub Weight,Bass,48.0,-14.008774,-3.777110,-0.000267335
2,Rolling Bass Body,Bass,55.0,-14.328762,-4.110242,-0.000587072
3,Acid Bite,Bass,68.0,-12.775410,-2.062104,-0.000404388
4,Mid Bass Iron,Bass,62.0,-14.039694,-3.191322,-0.000599970
5,Bass Harmonic Lift,Bass,38.0,-13.960635,-0.171610,0.003036995
6,Controlled Bass Fuzz,Bass,48.0,-13.813554,-3.385597,-0.000606424
7,Kick Weight,Drums,58.0,-14.276085,-3.877734,-0.000444077
8,Kick Attack,Drums,55.0,-13.440855,-1.794184,-0.000500663
9,Drum Bus Warmth,Drums,36.0,-13.995856,-2.786635,-0.000174093
10,Crunchy Loop,Drums,60.0,-14.394270,-0.913393,-0.000489349
11,Snare Bite,Drums,68.0,-13.611562,-0.878807,-0.000526010
12,Parallel Fuzz Drums,Drums,72.0,-14.228539,-1.573626,0.001911875
13,Warm Pad,Synths,35.0,-13.985720,-3.472083,-0.000627783
14,Dirty Pad Halo,Synths,52.0,-14.145796,-1.884948,-0.000578545
15,Melodic Lead Bite,Synths,62.0,-13.704179,-1.026334,-0.000544078
16,Dark Stab Iron,Synths,64.0,-14.102126,-2.676235,-0.000592105
17,Acid Destruction,Synths,85.0,-14.078494,-2.795950,-0.000222974
18,Upper Harmonic Lift,Synths,42.0,-14.269793,0.024408,0.003127156
19,Vocal Edge,Vocals,46.0,-13.920871,-1.694556,-0.000593376
20,Dark Vocal Grit,Vocals,56.0,-14.183468,-3.062207,-0.000612301
21,Harmonic Air,Vocals,34.0,-14.228370,0.427094,0.003145305
22,Telephone Fuzz,Vocals,70.0,-15.551229,-3.312303,0.000038310
23,Gentle Four-Band Glue,Mix,22.0,-14.175610,-2.047740,0.000426702
24,Low-End Safe Saturation,Mix,36.0,-14.062511,-0.123465,0.003081217
25,Brightness Without EQ,Mix,38.0,-13.960658,-1.256723,-0.000570043
26,Parallel Color,Mix,55.0,-14.617952,-1.614450,0.001637416
