index,name,category,maxBandDrive,rmsDb,peakDb,dc
0,Default,Init,25.0,-14.158028,-3.067740,-0.000586691
1,Sub Weight,Bass,48.0,-14.284990,-3.976789,-0.000225351
2,Rolling Bass Body,Bass,55.0,-14.588456,-4.105741,-0.000546472
3,Acid Bite,Bass,68.0,-12.651766,-2.172604,-0.000365854
4,Mid Bass Iron,Bass,62.0,-14.171427,-3.240099,-0.000564285
5,Bass Harmonic Lift,Bass,38.0,-14.022899,-0.230674,0.003087796
6,Controlled Bass Fuzz,Bass,48.0,-14.113692,-3.710087,-0.000569104
7,Kick Weight,Drums,58.0,-14.531460,-3.857893,-0.000401210
8,Kick Attack,Drums,55.0,-13.380507,-1.914809,-0.000435213
9,Drum Bus Warmth,Drums,36.0,-14.212279,-3.018329,-0.000138623
10,Crunchy Loop,Drums,60.0,-14.040372,-0.735806,-0.000508290
11,Snare Bite,Drums,68.0,-13.635892,-0.840101,-0.000489418
12,Parallel Fuzz Drums,Drums,72.0,-14.275142,-1.484670,0.001950412
13,Warm Pad,Synths,35.0,-14.184823,-3.713624,-0.000594498
14,Dirty Pad Halo,Synths,52.0,-14.224981,-2.034742,-0.000555330
15,Melodic Lead Bite,Synths,62.0,-13.748501,-1.007703,-0.000511987
16,Dark Stab Iron,Synths,64.0,-13.775211,-2.674886,-0.000614824
17,Acid Destruction,Synths,85.0,-13.028222,-1.438370,-0.000161534
18,Upper Harmonic Lift,Synths,42.0,-14.280198,-0.064456,0.003155860
19,Vocal Edge,Vocals,46.0,-13.986514,-1.734966,-0.000560314
20,Dark Vocal Grit,Vocals,56.0,-14.245273,-3.069708,-0.000584618
21,Harmonic Air,Vocals,34.0,-14.226071,0.332875,0.003164273
22,Telephone Fuzz,Vocals,70.0,-15.230278,-3.212818,0.000081287
23,Gentle Four-Band Glue,Mix,22.0,-14.277241,-2.157624,0.000455533
24,Low-End Safe Saturation,Mix,36.0,-14.126521,-0.209547,0.003124943
25,Brightness Without EQ,Mix,38.0,-13.996329,-1.277215,-0.000547698
26,Parallel Color,Mix,55.0,-14.493902,-1.653904,0.001640681
